knockffa.0.arrow,§cArrow
knockffa.0.booster,§cBooster
knockffa.0.bow,§cBow
knockffa.0.killed,§l§c✖ §r§4You Died
knockffa.0.killed.sub,%rank_prefix%%player% §8| §c-1 Coin
knockffa.0.killedself,%rank_prefix%%player% §9tried to kill himself with a bow. That's hilarious!
knockffa.0.nomoney,§cYou don't have enough money
knockffa.0.score.coins,Coins
knockffa.0.score.coins.color,§7
knockffa.0.score.deaths,Deaths
knockffa.0.score.deaths.color,§7
knockffa.0.score.kd,KD
knockffa.0.score.kd.color,§7
knockffa.0.score.kills,Kills
knockffa.0.score.kills.color,§7
knockffa.0.score.sub,Teamspeak-Server
knockffa.0.score.sub.value,§7Galaxycore.net
knockffa.0.settings,§eSettings
knockffa.0.settings.alreadybought,§eAlready bought
knockffa.0.settings.booster.bought,§eYou bought the Booster for five minutes!
knockffa.0.settings.booster.lore,"Throws yourself forward for 5 min
§7(150 Coins)"
knockffa.0.settings.booster.price,§7150 Coins
knockffa.0.settings.buy,§eBuy:
knockffa.0.settings.coins,Coins
knockffa.0.settings.messageset.0.name,Normal Messages
knockffa.0.settings.messageset.1.name,Special Messages 1
knockffa.0.settings.messageset.2.name,Special Messages 2
knockffa.0.settings.messageset.3.name,Special Team Messages
knockffa.0.settings.setchosen,§eSet Chosen
knockffa.0.streak,§c%player% §fnow has a streak of %d
knockffa.0.sword,§cSword
knockffa.0.wonfight,§l§a✓ §r§4+5 Coins
knockffa.0.wonfight.sub,%rank_prefix%%player%
knockffa.1.arrow,§cArrow
knockffa.1.booster,§cBooster
knockffa.1.bow,§cBow
knockffa.1.killed,§l§c✖ §r§8%rank_prefix%%player% | §c-1 Coin
knockffa.1.killed.sub,§4has stolen your honour!
knockffa.1.killedself,%rank_prefix%%player% §5tried to kill himself with a bow. That's hilarious!
knockffa.1.nomoney,§cYou don't have enough money
knockffa.1.score.coins,Coins
knockffa.1.score.coins.color,§7
knockffa.1.score.deaths,Deaths
knockffa.1.score.deaths.color,§7
knockffa.1.score.kd,KD
knockffa.1.score.kd.color,§7
knockffa.1.score.kills,Kills
knockffa.1.score.kills.color,§7
knockffa.1.score.sub,Teamspeak-Server
knockffa.1.score.sub.value,§7Galaxycore.net
knockffa.1.settings,§eSettings
knockffa.1.settings.alreadybought,§eAlready bought
knockffa.1.settings.booster.bought,§eYou bought the Booster for five minutes!
knockffa.1.settings.booster.lore,"Throws yourself forward for 5 min
§7(150 Coins)"
knockffa.1.settings.booster.price,§7150 Coins
knockffa.1.settings.buy,§eBuy:
knockffa.1.settings.coins,Coins
knockffa.1.settings.messageset.0.name,Normal Messages
knockffa.1.settings.messageset.1.name,Special Messages 1
knockffa.1.settings.messageset.2.name,Special Messages 2
knockffa.1.settings.messageset.3.name,Special Team Messages
knockffa.1.settings.setchosen,§eSet Chosen
knockffa.1.streak,§c%player% §2has %d times stolen your honour!
knockffa.1.sword,§cSword
knockffa.1.wonfight,§l§a✓ §r§4+5 Coins
knockffa.1.wonfight.sub,You stole %rank_prefix%%player% §c's honour and donated it to Africa!
knockffa.2.arrow,§cArrow
knockffa.2.booster,§cBooster
knockffa.2.bow,§cBow
knockffa.2.killed,§l§c✖ §r§3%rank_prefix%%player% | §c-1 Coin
knockffa.2.killed.sub,§6has stolen €5 from you and buys a kebab with it.
knockffa.2.killedself,%rank_prefix%%player% §6tried to kill himself with a bow. That's hilarious!
knockffa.2.nomoney,§cYou're too poor for that!
knockffa.2.score.coins,Coins
knockffa.2.score.coins.color,§7
knockffa.2.score.deaths,Deaths
knockffa.2.score.deaths.color,§7
knockffa.2.score.kd,KD
knockffa.2.score.kd.color,§7
knockffa.2.score.kills,Kills
knockffa.2.score.kills.color,§7
knockffa.2.score.sub,Teamspeak-Server
knockffa.2.score.sub.value,§7Galaxycore.net
knockffa.2.settings,§eSettings
knockffa.2.settings.alreadybought,§eAlready bought
knockffa.2.settings.booster.bought,§eYou bought the Booster for five minutes!
knockffa.2.settings.booster.lore,"Throws yourself forward for 5 min
§7(150 Coins)"
knockffa.2.settings.booster.price,§7150 Coins
knockffa.2.settings.buy,§eBuy:
knockffa.2.settings.coins,Coins
knockffa.2.settings.messageset.0.name,Normal Messages
knockffa.2.settings.messageset.1.name,Special Messages 1
knockffa.2.settings.messageset.2.name,Special Messages 2
knockffa.2.settings.messageset.3.name,Special Team Messages
knockffa.2.settings.setchosen,§eSet Chosen
knockffa.2.streak,§3%player% §5stole %d! times 5€ from you.
knockffa.2.sword,§cSword
knockffa.2.wonfight,§l§a✓ §r§4+5 Coins
knockffa.2.wonfight.sub,§aYou have stolen €5 from %rank_prefix%%player% §aand can buy a kebab with it!
knockffa.3.arrow,§cdildo
knockffa.3.booster,§cBooster
knockffa.3.bow,§cButtplug
knockffa.3.killed,%rank_prefix%%player% §8| §c-1 Coin
knockffa.3.killed.sub,§l§c✖ §cfucked your mother.
knockffa.3.killedself,%rank_prefix%%player% §9the son of a bitch killed himself with the bow idiot.! b-baka
knockffa.3.nomoney,"§cYou're too poor for that, you son of a bitch!"
knockffa.3.score.coins,Coins
knockffa.3.score.coins.color,§7
knockffa.3.score.deaths,Deaths
knockffa.3.score.deaths.color,§7
knockffa.3.score.kd,KD
knockffa.3.score.kd.color,§7
knockffa.3.score.kills,Kills
knockffa.3.score.kills.color,§7
knockffa.3.score.sub,Tim´s Ex-Girlfiriend ->
knockffa.3.score.sub.value,§7PornHub.com
knockffa.3.settings,§eSettings
knockffa.3.settings.alreadybought,§eAlready bought
knockffa.3.settings.booster.bought,§eYou bought the Booster for five minutes!
knockffa.3.settings.booster.lore,"Throws yourself forward for 5 min
§7(150 Coins)"
knockffa.3.settings.booster.price,§7150 Coins
knockffa.3.settings.buy,§eBuy:
knockffa.3.settings.coins,Coins
knockffa.3.settings.messageset.0.name,Normal Messages
knockffa.3.settings.messageset.1.name,Special Messages 1
knockffa.3.settings.messageset.2.name,Special Messages 2
knockffa.3.settings.messageset.3.name,Special Team Messages
knockffa.3.settings.setchosen,§eSet Chosen
knockffa.3.streak,§c%player% §fhas your mother %d times FUCKED
knockffa.3.sword,§cAnal penetrator
knockffa.3.wonfight,§l§a✓ §r§4+5 Coins
knockffa.3.wonfight.sub,%rank_prefix%%player%
